title,class
AUDIO-HAPTIC INTERNET BROWSER AND ASSOCIATED TOOLS FOR BLIND AND VISUALLY IMPAIRED COMPUTER USERS,SON
Remembering Why to Remember: Performance-Guided Case-Base Maintenance ,CBR
Operator Decision Aiding by Adaptation of Supervision Strategies,CBR
Using Case Data to Improve on Rule-based Function Approximation,CBR
Learning Prediction of Time Series. A Theoretical and Empirical Comparison of CBR with some other Approaches,CBR
On the Use of FastMap for Audio Retrieval and Browsing,SON
AUDIO-ENHANCED COLLABORATION AT AN INTERACTIVE ELECTRONIC WHITEBOARD,SON
Theory Recovery,ILP
CATEGORY: Artificial Intelligence Learning Human­like Knowledge by Singular Value Decomposition: A Progress Report,RI
Massively Parallel Case-Based Reasoning with Probabilistic Similarity Metrics,CBR
Japanese/English Cross­Language Information Retrieval: Exploration of Query Translation and Transliteration 1,RI
Using ILP-Systems for Verification and Validation of Multi-agent Systems,ILP
A Digital Libraries System based on Multi­level Agents,RI
Loose Coupling of Failure Explanation and Repair: sing Learning Goals to Sequence Learning Methods,CBR
Maximum Entropy Modeling with Clausal Constraints,ILP
Data Mining via ILP: The Application of Progol to a Database of Enantioseparations,ILP
Case Memory and Retrieval Based on the Immune System,CBR
On the Effectiveness of Evaluating Retrieval Systems in the Absence of Relevance Judgments #,RI
A Comparison of ILP and Propositional Systems on Propositional Traffic Data,ILP
Learning Extraction Patterns for Subjective Expressions,RI
Evaluation of Strategies for Generalised Cases within a Case-Based Reasoning Antibiotics Therapy Advice System,CBR
Learning to Refine Indexing by Introspective Reasoning,CBR
Musical Genre Classification of Audio Signals,RI
Retrieving Adaptable Cases The Role of Adaptation Knowledge in Case Retrieval,CBR
Executing Query Packs in ILP,ILP
Rhythmic Parsing of Sonified DNA and RNA Sequences,SON
Applications of Approximate Word Matching in Information Retrieval James C. French Allison L. Powell,RI
Information­Theoretic Private Information Retrieval: A Unified Construction,RI
Multimedia structuring using trees,RI
Footprint-Based Retrieval,CBR
LANGUAGE MODELING FOR MULTI­DOMAIN SPEECH­DRIVEN TEXT RETRIEVAL,RI
Solution-Relevant Abstractions Constrain Retrieval and Adaptation,CBR
On Arithmetic Branching Programs \Lambda,RI
Pitch Histograms in Audio and Symbolic Music Information Retrieval,RI
Similarity Metrics: A Formal Unification of Cardinal and Non-Cardinal Similarity Measures,CBR
Application of Inductive Logic Programming to Discover Rules Governing the Three-Dimensional Topology of Protein Structure,ILP
A Fuzzy Case Retrieval Approach Based on SQL for Implementing Electronic Catalogs,CBR
A Case Study of Case-Based CBR,CBR
An Inferential Approach to Information Retrieval and its Implementation using a Manual Thesaurus,RI
Orchestration within the Sonification of basic Data Sets,SON
Learning a Local Similarity Metric for Case-Based Reasoning,CBR
A-Subsumption and Its Application to Learning from Positive-only Examples,ILP
An Unsupervised Bayesian Distance Measure,CBR
Performance Issues in a Real-Time True Color Data Display,SON
Relevance Score Normalization for Metasearch #,RI
"A Multi­Layered, XML­Based Approach to the Integration of Linguis­ tic and Semantic Annotations",RI
Discovering New Knowledge from Graph Data Using Inductive Logic Programming,ILP
Personalised Route Planning: A Case-Based Approach,CBR
Using Machine Learning for Assigning Indices to Textual Cases,CBR
3D GRAPHICS TOOLS FOR SOUND COLLECTIONS,RI
Chord: A Scalable Peer­to­peer Lookup Service for Internet Applications,RI
LISTENING POST: GIVING VOICE TO ONLINE COMMUNICATION,SON
Case-Based Reasoning for Network Management,CBR
Scalable Information Organization #,RI
Supporting Combined Human and Machine Planning: An Interface for Planning by Analogical Reasoning,CBR
Running head: TEXTUAL COHERENCE USING LATENT SEMANTIC ANALYSIS The Measurement of Textual Coherence with Latent Semantic Analysis,RI
Integrating Sounds and Motions in Virtual Environments,SON
Using CBR for Automation of Software Design Patterns,CBR
Beyond the Query-By-Example Paradigm: New Query Interfaces for Music Information Retrieval,SON
Time in Geographic Space: Report on the Specialist Meeting of Research Initiative 10,SON
Running head: LEARNING FROM TEXT Learning from text: Matching readers and texts by Latent Semantic Analysis,RI
MOTION ESTIMATION BASED ON AFFINE MOMENT INVARIANTS,RI
Integrating Rule Induction and Case-Based Reasoning to Enhance Problem Solving,CBR
MUSE: A Musical Data Sonification Toolkit,SON
Towards Learning in CARIN-ALN,ILP
Multiple Explanation Patterns,CBR
Information Extraction as a Basis for High­Precision Text Classification,RI
An Integrated Virtual Environment System,SON
Analysis and User Evaluation of a Musical-V isual System: Does music make any difference?,SON
MULTIFEATURE AUDIO SEGMENTATION FOR BROWSING AND ANNOTATION,RI
Reliable Communication over Partially Authenticated Networks,RI
An Investigation of Marker-Passing Algorithms for Analogue Retrieval,CBR
Ranking and Selecting Synsets by Domain Relevance,RI
Searching the Subsumption Lattice by a Genetic Algorithm,ILP
Induction of Recursive Theories in the Normal ILP Setting: Issues and Solutions,ILP
Virtual Function Generators: Representing and Reusing Underlying Design Concepts in Conceptual Synthesis of Mechanisms for Function Generation,CBR
"COMPUTING FUNCTIONS OF A SHARED SECRET AMOS BEIMEL  , MIKE BURMESTER y , YVO DESMEDT z , AND EYAL KUSHILEVITZ x",RI
A Multiple-Domain Evaluation of Stratified Case-Based Reasoning,CBR
A Rule-based Question Answering System for Reading Comprehension Tests,RI
An Efficient and Flexible Format for Linguistic and Semantic Annotation,RI
A New Design and Implementation of Progol by Bottom-Up Computation,ILP
MacRad: Radiology Image Resource with a Case-Based Retrieval System,CBR
Integrating Semantic Structure and Technical Documentation in Case-Based Service Support Systems,CBR
Running head: LATENT SEMANTIC ANALYSIS AND KNOWLEDGE ASSESSMENT,RI
Using a Case Base of Surfaces to Speed-Up Reinforcement Learning,CBR
Relational Reinforcement Learning,ILP
InfoFrax: CBR in Fused Cast Refractory Manufacture,CBR
Some Limitations of Feature-Based Recognition in Case-Based Design,CBR
Case Adaptation Using an Incomplete Causal Model,CBR
Case-Based Reasoning for Expertise Relocation in Support of Rural Health Workers in Developing Countries,CBR
The Design of Sonically-Enhanced Widgets,SON
Case-Based Reasoning for Antibiotics Therapy Advice,CBR
Applying Memory-Based Learning to Indexing of Refer ence Ships for Case-Based Conceptual Ship Design,CBR
Latent Semantic Analysis Approaches to Categorization,RI
Sound Kitchen: Designing a Chemically Controlled Musical Performance,SON
Evaluation Corpora for Sense Disambiguation in the Medical Domain,RI
Using Case-Based Reasoning to Focus Model-Based Diagnostic Problem Solving,CBR
A New Approach for the Incremental Development of Adaptation Functions for CBR,CBR
"Collaborative Maintenance  A Distributed, Interactive Case-Base Maintenance Strategy",CBR
Learning Rules That Classify Ocular Fundus Images for Glaucoma Diagnosis,ILP
Automatically Constructing a Dictionary for Information Extraction Tasks,RI
APPLYING HYPERTEXT STRUCTURES TO SOFTWARE DOCUMENTATION,RI
Sonification and the Interaction of Perceptual Dimensions: Can the Data Get Lost in the Map?,SON
Local Predictions for Case-Based Plan Recognition,CBR
PITCH AND TIMBRE MANIPULATIONS USING CORTICAL REPRESENTATION OF SOUND,SON
Container Shipping: Operating System Support for I/O Intensive Applications,SON
Online Power­aware Routing in Wireless Ad­hoc Networks,RI
An Integrated Approach to Motion and Sound,SON
Similarity Guided Learning of the Case Description and Improvement of the System Performance in an Image Classification System,CBR
Qualitative Aspects of Auditory Direct Manipulation: A Case Study of the Towers of Hanoi,SON
Explanation-based Similarity: A Unifying Approach for Integrating Domain Knowledge into Case-based Reasoning for Diagnosis and Planning Tasks,CBR
A Novelty­based Evaluation Method for Information Retrieval,RI
Near Critical Path Analysis of Program Activity Graphs,SON
MODELING COLLISION SOUNDS: NON-LINEAR CONTACT FORCE,SON
Design and Implementation of a Multimedia Opera,SON
The Application of Case-Based Reasoning to the Tasks of Health Care Planning,CBR
Affect-Driven CBR to Generate Expressive Music,CBR
Subspace Morphing Theory for Appearance Based Object Identification,RI
Surfing the Digital Wave,CBR
Noise Detection and Elimination Applied to Noise Handling in a KRK Chess Endgame,ILP
A Knowledge Level Model of Knowledge-Based Reasoning,CBR
A Case-Based Approach to Image Recognition,CBR
Examining Locally Varying Weights for Nearest Neighbor Algorithms,CBR
Case Acquisition in a Project Planning Environment,CBR
Induction of Slovene Nominal Paradigms,ILP
Hierarchical Power­aware Routing in Sensor Networks,RI
Applications of Image Understanding in Semantics-Oriented Multimedia Information Retrieval,RI
Efficient Proof Encoding,ILP
A Symmetric Nearest Neighbor Learning Rule,CBR
Induction of Constraint Grammar-Rules Using Progol,ILP
Noise Tolerant Algorithms for Learning and Searching,RI
Towards a Unified Theory of Adaptation in Case-Based Reasoning,CBR
Utilizing the World Wide Web as an Encyclopedia: Extracting Term Descriptions from Semi­Structured Texts,RI
DESIGNING ENVIRONMENTAL SOUNDS BASED ON THE RESULTS OF INTERACTION BETWEEN OBJECTS IN THE REAL WORLD,SON
Maintaining Case-Based Reasoning Systems Using Fuzzy Decision Trees1,CBR
An Architecture for Knowledge Intensive CBR Systems,CBR
A Probabilistic Model for Case-Based Reasoning,CBR
Integrating Case Based Reasoning and Tabu Search for Solving Optimisation Problems,CBR
Induction of Logic Programs with More Than One Recursive Clause by Analyzing Saturations,ILP
A Hybrid Knowledge-Based System for Technical Diagnosis Learning and Assistance,CBR
Growth and Server Availability of the NCSTRL Digital Library,RI
Partial Orders and Indifference Relations: Being Purposefully Vague in Case-Based Retrieval,CBR
Applying ILP to Diterpene Structure Elucidation from 13C NMR Spectra,ILP
Bootstrapping Case Base Development with Annotated Case Summaries ,CBR
"Case Representation, Acquisition, and Retrieval in SIROCCO",CBR
Active Delivery for Lessons Learned Systems,CBR
Multilingual Information Retrieval based on Parallel Texts from the Web,RI
The Life Cycle of Test Cases in a CBR System,CBR
Instance Based Function Learning,ILP
On the Complexity of Some Inductive Logic Programming Problems ,ILP
Breaking the O(n 1=(2k 1) ) Barrier for Information­Theoretic Private Information Retrieval,RI
"Panorama: A Portable, Extensible Parallel Debugger",SON
A Dynamic Approach to Reducing Dialog in On-Line Decision Guides,CBR
A Hybrid Approach to Word Segmentation,ILP
Modular Preference Moore Machines in News Mining Agents,RI
The All-or-Nothing Nature of Two-Party Secure Computation,RI
Restructuring Chain Datalog Programs (Preliminary Report),ILP
A Case Retention Policy Based on Detrimental Retrieval,CBR
"Learning Boxes in High Dimension Amos Beimel y Eyal Kushilevitz z April 21, 1998",RI
Little Words Can Make a Big Difference for Text Classification,RI
Using Clustering Strategies for Creating Authority Files,RI
Tetravalent Miniantibodies with High Avidity Assembling in Escherichia coli,SON
Case-Based Planning to Learn,CBR
Production Tools for Electronic Arenas: Event Management and Content Production,SON
A Support System Based on CBR for the Design of Rubber Compounds in Motor Racing,CBR
Case-Based Quality Management System Using Expectation Values,CBR
Defining Similarity Measures: Top-Down vs. Bottom-Up,CBR
A First Study on Case-Based Planning in Organic Synthesis,CBR
A Memory-Based Hierarchical Planner,CBR
HUMAN PERCEPTION AND COMPUTER EXTRACTION OF MUSICAL BEAT STRENGTH,RI
Adaptive Rapid Serial Visual Presentation,SON
The Use of a Uniform Declarative Model in 3D Visualisation for Case-Based Reasoning,CBR
"Case-Based Reasoning for Candidate List Extraction in a Marketing Domain Michael Fagan, Konrad Bloor",CBR
Information­Theoretic Private Information Retrieval: A Unified Construction,RI
The Animation of Autonomous Actors Based on Production Rules,SON
Learning Subjective Nouns using Extraction Pattern Bootstrapping,RI
Handling Quantifiers in ILP,ILP
Analyzing and Learning ECG Waveforms,ILP
Personalized Conversational Case-Based Recommendation,CBR
Inferring Graphs from Walks (Extended Abstract),RI
ICARUS: Design and Deployment of a Case-Based Reasoning System for Locomotive Diagnostics,CBR
Robust Information­Theoretic Private Information Retrieval,RI
Building a Case-Based Decision Support System for Land Development Control Using Land Use Function Pattern,CBR
Lookahead and Discretization in ILP,ILP
A Tool for Range Sensing and Environment Discovery for the Blind,SON
Refining Complete Hypotheses in ILP,ILP
A Connectionist Indexing Approach for CBR Systems,CBR
"Case Based Reasoning, Fuzzy Systems Modeling and Solution Composition",CBR
Self­Organising Networks for Classification Learning from Normal and Aphasic Speech,RI
An Automatic and Guaranteed Determination of the Number of Roots of an Analytic Function Interior to A Simple Closed Curve in the Complex Plane,RI
Understanding Creativity: A Case-Based Approach,CBR
Applying the Rapid Serial Visual Presentation Techniqueto Small Screens,SON
A Case-Based Approach for Elaboration of Design Requirements,CBR
Improving Full­Text Precision on Short Queries using Simple Constraints,RI
Category-Based Filtering and User Stereotype Cases to Reduce the Latency Problem in Recommender Systems,CBR
Empirical Development of an Exponential Probabilistic Model for Text Retrieval,RI
Experiments in computer­assisted annotation of audio,RI
Experiments On Adaptation-Guided Retrieval In Case-Based Design,CBR
A Bootstrapping Method for Learning Semantic Lexicons using,RI
Hybrid­Search and Storage of Semi­structured Information,RI
Improved Bicriteria Existence Theorems for Scheduling,RI
DOGMA: A GA-Based Relational Learner,ILP
"University of Glasgow at the Web track of TREC 2002 Vassilis Plachouras, Iadh Ounis, Gianni Amati  , and C.J. Van Rijsbergen",RI
Automatic construction of parallel English­-Chinese corpus for cross­ language information retrieval,RI
Case-Based Reasoning for Cash Flow Forecasting using Fuzzy Retrieval,CBR
Organizing Encyclopedic Knowledge based on the Web and its Application to Question Answering,RI
INRECA: A Seamlessly Integrated System Based on Inductive Inference and Case-Based Reasoning,CBR
On the Power of Nonlinear Secret­Sharing,RI
Visualizing the Behavior of Higher Dimensional Dynamical Systems,SON
Coordinating the Interruption of People in Human-Computer Interaction,SON
Flexible Control of Case-Based Prediction in the Framework of Possibility Theory,CBR
A Utility-Based Approach to Learning in a Mixed Case-Based and Model-Based Reasoning Architecture,CBR
Spatial composition using cases : IDIOM,CBR
Presenting Dynamic Information on Mobile Computers,SON
Digital Image Similarity for Geo-spatial Knowledge Management,CBR
Beyond the Query­By­Example Paradigm: New Query Interfaces for Music Information Retrieval,RI
From Dots To Shapes: an auditor y haptic game platform for teaching geometry to blind pupils,SON
Artificial Synesthesia via Sonification: A Wearable Augmented Sensory System,SON
An Initial Experiment into Stereochemistry-Based Drug Design Using Inductive Logic Programming,ILP
Realizing Progol by Forward Reasoning,ILP
Combining Words and Compound Terms for Monolingual and Cross­Language Information Retrieval,RI
Gesture and Musical Interaction: Interactive Engagement Through Dynamic Morphology,SON
Supporting Electronic Design Reuse by Integrating Quality-Criteria into CBR-Based IP Selection,CBR
Synthesis of Sound Textures by Learning and Resampling of Wavelet Trees,SON
A New Approach to Solution Adaptation and Its Application for Design Purposes,CBR
Hybrid­Search and Storage of Semi­structured Information,RI
Applying Machine Translation to Two­Stage Cross­Language Information Retrieval,RI
How Well Can Passage Meaning be Derived without Using Word Order? A Comparison of Latent Semantic Analysis and Humans,RI
Automatically Selecting Strategies for Multi-Case-Base Reasoning,CBR
A Systematic Approach to Creating and Maintaining Software Documentation,RI
A Note on Two Simple Transformations for Improving the Efficiency of an ILP System,ILP
Cat­a­Cone: An Interactive Interface for Specifying Searches and Viewing Retrieval Results using a Large Category Hierarchy,RI
Reducing Lexical Semantic Complexity with Systematic Polysemous Classes and Underspecification,RI
Similarity Assessment for Generalizied Cases by Optimization Methods,CBR
Active Exploration in Instance-Based Preference Modeling,CBR
Activating CBR Systems through Autonomous Information Gathering,CBR
Granular Synthesis for Display of Time-Varying Probability Densities,SON
Discovering Internet Resources to Enrich a Structured Personal Information Space,RI
Learning from Positive Data,ILP
Integrated Case-Based Building Design,CBR
Combining Rule-Based and Case-Based Learning for Iterative Part-of-Speech Tagging,CBR
Polynomial-Time Learning in Logic Programming and Constraint Logic Programming,ILP
An Analogical Theory of Creativity in Design,CBR
Cautious Induction in Inductive Logic Programming,ILP
Which Hypotheses Can Be Found with Inverse Entailment?,ILP
Distances and Limits on Herbrand Interpretations,ILP
Morphosyntactic Tagging of Slovene Using Progol,ILP
Augmenting Reality Through The Coordinated Use of Diverse Interfaces,SON
Carcinogenesis Predictions Using ILP ,ILP
Fault Management in Computer Networks Using Case-Based Reasoning: DUMBO System,CBR
Diverse Product Recommendations Using an Expressive Language for Case Retrieval,CBR
Similarity Measures for Structured Representations,CBR
A Folder­Based Graphical Interface for an Information Retrieval System,RI
On Quality Measures for Case Base Maintenance,CBR
Combining LAPIS and WordNet for the Learning of LR Parsers with Optimal Semantic Constraints,ILP
Shaping a CBR View with XML,CBR
Efficient Reliable Communication over Partially Authenticated Networks,RI
Models for Metasearch,RI
Generating Numerical Literals During Refinement,ILP
Merge Strategies for Multiple Case Plan Replay ,CBR
Linguistic Annotation for the Semantic Web,RI
A Multivalued Conditional Logic with Probabilistic Interpretation for Causal Decision Theory,RI
An Assessment of ILP-Assisted Models for Toxicology and the PTE-3 Experiment,ILP
Some Properties of Inverse Resolution in Normal Logic Programs,ILP
Stratified Case-Based Reasoning in Non-Refinable Abstraction Hierarchies,CBR
